"date","residents","population","gdp.per.capita","top","bottom","inequality","cars","rentalcars","taxis","buses","motorbikes","other","bus.u","mrt.u","lrt.u","gdp.per.capita.ch","cars.ch","top.ch","bottom.ch","population.ch","bus.u.pop","lrt.u.pop","mrt.u.pop","car.u.pop","non.residents","lcar.u.pop","lgdp","ltop","lbottom"
2005,3467814,4265762,49715.385,170744.33,31813,5.3671244459812,432827,7756,22383,13494,139434,139098,2779,1321,69,10.8140697215258,12.9780933890418,12.0479225704395,10.3676302902617,15.2661313864899,65.1466256204636,1.61753046700683,30.9675035784931,10.1465341948285,797948,9.88836632855445,10.7433375319006,11.990390997341,10.243741202024
2006,3525894,4401365,53355.039,185295.82,31204.08,5.93819205693614,465482,9235,23334,14120,142736,144466,2833,1408,74,10.8847237040034,13.0508287068528,12.129708854005,10.3483041344788,15.2974252780507,64.3663954250556,1.68129659776001,31.9900758060284,10.575855444845,875471,10.1465341948285,10.8140697215258,12.0479225704395,10.3676302902617
2007,3583082,4588599,59113.86,208443.98,34043.28,6.12291118834613,505987,11054,24446,14530,144340,150979,2932,1527,79,10.9872206936657,13.13426625624,12.2474256030646,10.435387935272,15.3390853066868,63.8974989969705,1.72165839725807,33.2781312988997,11.0270476892838,1005517,10.575855444845,10.8847237040034,12.129708854005,10.3483041344788
2008,3642659,4839396,56201.311,202059.19,28969.67,6.9748530100619,540455,12391,24300,15327,146120,156089,3087,1698,88,10.9366953630118,13.2001666563512,12.2163159532634,10.2740046996043,15.392300477517,63.7889521750235,1.81840874357048,35.0870232566213,11.1678192898453,1196737,11.0270476892838,10.9872206936657,12.2474256030646,10.435387935272
2009,3733876,4987573,56111.058,192490.78,30184.56,6.37712724651279,566608,12763,24702,16023,147215,158207,3047,1782,90,10.9350881843862,13.247422985587,12.167803535459,10.3150858143477,15.4224599766646,61.0918376533035,1.80448486668767,35.7288003604158,11.3603951260463,1253697,11.1678192898453,10.9366953630118,12.2163159532634,10.2740046996043
2010,3771721,5076732,63497.758,210202,29642.8,7.0911654769455,584399,13347,26073,16309,148160,157541,3199,2069,100,11.0587598771709,13.2783392477005,12.2558242521276,10.2969745418849,15.4401783054573,63.0129776399463,1.96977110471855,40.7545641566267,11.5113226382641,1305011,11.3603951260463,10.9350881843862,12.167803535459,10.3150858143477
2011,3789251,5183688,66781.16,216514,29759.5,7.27545825702717,592361,13919,27051,17046,146559,159768,3385,2295,111,11.109176283817,13.2918715253126,12.285410489461,10.3009036877306,15.4610273300179,65.3009980538952,2.14133258020159,44.2734979420058,11.4274045814486,1394437,11.5113226382641,11.0587598771709,12.2558242521276,10.2969745418849
2012,3818205,5312437,68047.621,222826,29876.2,7.45831129795623,605149,14862,28210,17162,144110,160417,3481,2525,124,11.12796304788,13.3132299876825,12.3141464768156,10.3048174557911,15.485561233321,65.5254829374918,2.33414532727635,47.5299754142967,11.3911750859351,1494232,11.4274045814486,11.109176283817,12.285410489461,10.3009036877306
2013,3844751,5399162,69593.829,229138,29992.9,7.63974140546596,607292,16396,27695,17509,144934,160344,3601,2623,132,11.1504311785985,13.3167650087378,12.3420797211211,10.3087159659677,15.5017543143069,66.6955353441886,2.44482384488556,48.5816132207183,11.2478936546079,1554411,11.3911750859351,11.12796304788,12.3141464768156,10.3048174557911
2014,3870739,5469724,70966.89,235450,30109.6,7.81976512474427,600176,18847,28736,17554,145026,161698,3751,2762,137,11.1699687092259,13.3049782245178,12.3692538556717,10.3125993367645,15.5147387160868,68.5775004369507,2.504696763493,50.4961493486691,10.9726925892422,1598985,11.2478936546079,11.1504311785985,12.3420797211211,10.3087159659677
